entry_id,date,employee_ref,crew_ref,job_ref,ops_service_line,ops_code,hours
E000001,2025-04-01,,CREW-01,J315,Maintenance,BLOW,5.83
E000002,2025-04-01,,CREW-01,J112,Install,GRADE,8.64
E000003,2025-04-01,,CREW-01,,Maintenance,SHOP,2.87
E000004,2025-04-01,,CREW-02,J166,Maintenance,TRIM,5.16
E000005,2025-04-01,,CREW-02,J188,Install,PLANT,5.35
E000006,2025-04-01,,CREW-02,,Enhancement,DRIVE,2.37
E000007,2025-04-01,,CREW-03,J288,Maintenance,MOW,5.57
E000008,2025-04-01,,CREW-03,J354,Enhancement,SEASONAL-COLOR,5.85
E000009,2025-04-01,,CREW-03,,Install,SHOP,1.19
E000010,2025-04-02,,CREW-02,J357,Maintenance,MOW,5.93
E000011,2025-04-02,,CREW-02,J155,Install,INSTALL,4.83
E000012,2025-04-02,,CREW-02,,Enhancement,DRIVE,1.87
E000013,2025-04-02,,CREW-03,J335,Maintenance,TRIM,8.23
E000014,2025-04-02,,CREW-03,J180,Install,PLANT,6.18
E000015,2025-04-03,,CREW-01,J303,Maintenance,BLOW,6.54
E000016,2025-04-03,,CREW-01,J372,Install,GRADE,4.95
E000017,2025-04-03,,CREW-01,,Enhancement,TRAINING,2.42
E000018,2025-04-03,,CREW-02,J390,Maintenance,MOW,5.46
E000019,2025-04-03,,CREW-02,J104,Install,PLANT,8.86
E000020,2025-04-03,,CREW-02,,Maintenance,TRAINING,1.16
E000021,2025-04-03,,CREW-04,J188,Maintenance,MOW,7.92
E000022,2025-04-03,,CREW-04,J110,Install,GRADE,4.93
E000023,2025-04-04,,CREW-01,J124,Maintenance,TRIM,5.37
E000024,2025-04-04,,CREW-01,J271,Enhancement,PRUNE,5.16
E000025,2025-04-04,,CREW-01,,Install,PTO,1.86
E000026,2025-04-04,,CREW-04,J114,Maintenance,MOW,4.07
E000027,2025-04-04,,CREW-04,J327,Install,PLANT,7.79
E000028,2025-04-04,,CREW-04,,Install,TRAINING,2.73
E000029,2025-04-07,,CREW-02,J394,Maintenance,TRIM,6.76
E000030,2025-04-07,,CREW-02,J225,Enhancement,SEASONAL-COLOR,4.8
E000031,2025-04-07,,CREW-02,,Maintenance,TRAINING,1.12
E000032,2025-04-07,,CREW-03,J241,Maintenance,TRIM,6.53
E000033,2025-04-07,,CREW-03,J286,Install,GRADE,5.17
E000034,2025-04-07,,CREW-03,J240,Enhancement,PRUNE,6.43
E000035,2025-04-07,,CREW-03,,Install,TRAINING,0.81
E000036,2025-04-08,,CREW-03,J131,Maintenance,TRIM,5.99
E000037,2025-04-08,,CREW-03,J244,Install,PLANT,4.48
E000038,2025-04-08,,CREW-03,J155,Enhancement,MULCH,5.24
E000039,2025-04-08,,CREW-03,,Enhancement,TRAINING,1.92
E000040,2025-04-08,,CREW-04,J150,Maintenance,BLOW,8.38
E000041,2025-04-08,,CREW-04,J118,Enhancement,MULCH,6.33
E000042,2025-04-09,,CREW-01,J146,Maintenance,TRIM,5.81
E000043,2025-04-09,,CREW-01,,Install,SHOP,2.34
E000044,2025-04-09,,CREW-02,J214,Maintenance,BLOW,4.84
E000045,2025-04-09,,CREW-02,J294,Install,HARDSCAPE,7.51
E000046,2025-04-09,,CREW-02,J249,Enhancement,SEASONAL-COLOR,5.26
E000047,2025-04-09,,CREW-02,,Install,DRIVE,1.55
E000048,2025-04-09,,CREW-03,J161,Maintenance,TRIM,4.66
E000049,2025-04-09,,CREW-03,J328,Install,HARDSCAPE,6.11
E000050,2025-04-09,,CREW-03,J103,Enhancement,MULCH,7.18
E000051,2025-04-09,,CREW-03,,Enhancement,TRAINING,1.87
E000052,2025-04-09,,CREW-04,J353,Maintenance,BLOW,5.73
E000053,2025-04-09,,CREW-04,J175,Install,INSTALL,7.17
E000054,2025-04-09,,CREW-04,J152,Enhancement,SEASONAL-COLOR,4.99
E000055,2025-04-09,,CREW-04,,Enhancement,TRAINING,1.39
E000056,2025-04-10,,CREW-01,J194,Maintenance,MOW,5.91
E000057,2025-04-10,,CREW-01,J273,Install,HARDSCAPE,8.39
E000058,2025-04-10,,CREW-03,J246,Maintenance,TRIM,7.02
E000059,2025-04-10,,CREW-03,J350,Install,INSTALL,6.87
E000060,2025-04-10,,CREW-03,J158,Enhancement,SEASONAL-COLOR,4.6
E000061,2025-04-10,,CREW-03,,Maintenance,PTO,1.0
E000062,2025-04-11,,CREW-01,J268,Maintenance,MOW,6.73
E000063,2025-04-11,,CREW-01,J146,Install,GRADE,5.98
E000064,2025-04-11,,CREW-01,J151,Enhancement,SEASONAL-COLOR,5.66
E000065,2025-04-11,,CREW-01,,Maintenance,SHOP,0.84
E000066,2025-04-11,,CREW-02,J234,Maintenance,FERT,5.06
E000067,2025-04-11,,CREW-02,J247,Install,INSTALL,5.55
E000068,2025-04-11,,CREW-02,J328,Enhancement,SEASONAL-COLOR,6.59
E000069,2025-04-11,,CREW-02,,Install,PTO,2.72
E000070,2025-04-11,,CREW-03,J224,Install,PLANT,5.62
E000071,2025-04-14,,CREW-01,J327,Maintenance,MOW,6.42
E000072,2025-04-14,,CREW-01,,Install,DRIVE,2.3
